FACILITY_ID,ON_GRID_AVL,MIN_AIR_2015,MIN_AIR_2016,MIN_GROUND_2015,MIN_GROUND_2016,URBAN,ON_GRID,EA,SOLAR_INC,SOLAR_ONL,DIESEL_INC,DIESEL_ONL,FACILITY_TYPE,cluster
2010017,0,8.270009,3.9125075,10.903083,10.903083,0,0,1,0,0,1,1,1,4
2010018,0,7.6145992,7.6145992,21.313971,20.11314,0,1,1,1,0,0,0,2,0
2010019,0,3.9010782,8.283824,8.283824,19.348743,0,0,0,0,0,0,0,1,6
2010020,0,8.2427273,8.3111391,12.996861,12.996861,0,1,0,0,0,0,0,1,0
2010021,0,3.4845643,3.5694706,11.08586,11.08586,0,1,0,0,0,0,0,1,0
2010022,0,5.1129279,7.3972707,14.886342,14.886342,0,1,0,0,0,0,0,1,0
2010023,0,7.7058339,8.8775597,14.812419,14.812419,0,1,0,0,0,0,0,1,0
2010024,0,6.9348559,9.6672134,15.60048,17.166754,0,1,0,0,0,0,0,1,0
2010025,0,9.9194107,9.9194107,17.787548,20.011,0,0,0,0,0,0,0,1,6
2010026,0,3.1680346,5.7026448,6.7025614,6.7025614,0,1,0,0,0,0,0,1,0
2010034,0,11.032585,11.032585,12.461634,12.461634,0,1,0,0,0,0,0,2,0
2011001,0,4.4848185,4.4848185,15.596542,28.708984,0,1,0,0,0,0,0,1,0
2011002,0,9.7581034,3.858593,9.7581034,20.032173,0,1,0,0,0,0,0,1,0
2011003,0,0.84107774,0.84107774,10.964047,31.325609,0,1,0,0,0,0,0,2,0
2011004,0,3.8986871,3.8986871,12.105405,33.751686,1,1,1,1,0,0,0,2,2
2011005,0,3.7472732,3.7472732,11.497329,34.014416,1,1,1,1,0,0,0,2,2
2011006,0,3.5658419,3.5658419,11.779221,33.839211,1,1,1,1,0,0,0,2,2
2011007,0,5.5148621,5.5148621,12.849308,25.31728,0,1,0,0,0,0,0,2,0
2011008,0,0.84107774,0.84107774,10.964047,31.325609,1,1,1,1,0,0,0,3,2
2011009,0,8.0635653,8.0635653,9.5185184,23.032282,0,1,0,0,0,0,0,1,0
2011010,0,15.784664,7.6169777,15.784664,24.736448,0,0,0,0,0,0,0,1,6
2011011,0,9.5267076,9.5267076,9.5267076,22.474251,0,0,1,0,0,1,1,2,4
2011012,0,10.684572,11.371844,14.083197,27.432587,0,0,0,0,0,0,0,1,6
2011013,0,11.43149,11.43149,11.43149,26.589705,0,0,1,0,0,1,1,2,4
2011014,0,5.8475614,5.8475614,5.8475614,24.380856,0,0,0,0,0,0,0,1,6
2011015,0,5.7446051,5.7446051,5.7446051,30.051266,0,0,0,0,0,0,0,1,6
2011016,0,19.342957,2.1838932,20.405428,16.069664,0,0,0,0,0,0,0,1,6
2011017,0,8.84865,8.84865,8.84865,29.852488,0,0,1,0,0,1,1,2,4
2011018,0,12.623087,5.5583534,17.105045,27.800787,0,0,0,0,0,0,0,1,6
2011019,0,12.033243,3.3618288,13.499393,25.997381,0,0,0,0,0,0,0,1,6
2011020,0,10.479189,5.2998343,10.479189,22.224226,0,0,1,0,0,1,1,2,4
2012001,0,10.874182,11.30584,11.30584,11.30584,0,1,0,0,0,0,0,2,0
2012002,0,10.630087,13.381443,13.381443,13.381443,0,1,0,0,0,0,0,1,0
2012003,0,6.0721135,14.56337,6.4167295,7.3805494,0,1,0,0,0,0,0,1,0
2012004,0,6.2468877,12.473934,15.246937,22.405725,0,1,0,0,0,0,0,2,0
2012005,0,4.0573144,6.1174746,6.1174746,6.1174746,0,1,0,0,0,0,0,1,0
2012006,0,5.9110165,5.9110165,11.748452,11.748452,0,1,0,0,0,0,0,1,0
2012007,0,10.252955,10.252955,13.940989,21.392946,0,1,0,0,0,0,0,1,0
2012008,0,3.3934088,10.669537,20.61326,22.963814,0,1,0,0,0,0,0,1,0
2012009,0,5.8803935,15.137728,18.951912,18.951912,0,1,0,0,0,0,0,1,0
2012010,0,0.43207994,10.748444,21.499372,21.944469,1,1,0,0,0,0,0,3,2
2012011,0,7.5716505,13.997502,15.188227,15.188227,0,1,0,0,0,0,0,1,0
2012012,0,10.478042,15.218721,17.040283,20.786057,0,1,0,0,0,0,0,1,0
2012013,0,6.0002618,13.013754,20.977217,22.198494,0,0,0,0,0,0,0,1,6
2012014,0,4.3299251,6.5365672,17.071245,26.344259,0,1,0,0,0,0,0,1,0
2012015,0,7.8047099,14.737086,14.737086,14.737086,0,1,0,0,0,0,0,1,0
2101001,0,108.48534,80.11129,53.978199,78.167236,0,0,0,0,0,0,0,1,6
2101002,0,114.52606,74.863228,60.282513,81.515968,0,0,1,0,0,1,1,2,4
2101003,0,113.62196,66.060059,72.268074,87.094002,0,0,0,0,0,0,0,1,6
2101004,0,107.90201,56.39542,83.099525,89.112602,0,0,0,0,0,0,0,1,6
2102001,0,69.506226,24.086477,54.492935,61.360367,0,0,0,0,0,0,0,1,6
2102002,0,85.761879,47.218231,72.850868,77.107689,0,0,1,0,0,1,1,2,4
2102003,0,91.55249,58.336555,82.322075,84.963417,0,0,0,0,0,0,0,1,6
2102004,0,75.969772,54.254089,70.832733,70.492928,0,0,0,0,0,0,0,1,6
2102005,0,78.325302,59.672031,75.357376,73.795303,0,0,0,0,0,0,0,1,6
2102006,0,74.478081,39.562901,61.495293,65.423416,0,0,0,0,0,0,0,1,6
2102007,0,59.873985,41.735714,52.440102,52.728527,0,0,0,0,0,0,0,1,6
2102008,0,62.266094,17.414701,47.904724,55.435604,0,0,0,0,0,0,0,1,6
2103001,0,39.342548,13.89037,26.510332,36.51767,0,1,0,0,0,0,0,1,0
2103002,0,51.45467,22.961456,31.655748,37.260937,0,1,0,0,0,0,0,1,0
2103003,0,50.817272,14.217169,34.917057,42.755283,0,1,0,0,0,0,0,1,0
2103004,0,47.722153,0.11941566,38.845379,48.808098,1,1,1,1,0,0,0,3,2
2103005,0,49.476475,20.881609,39.408985,50.967571,0,1,0,0,0,0,0,1,0
2104001,0,99.561043,38.282211,87.353073,87.748451,0,0,1,0,0,1,1,3,4
2104002,0,86.091263,38.394985,73.570602,80.820786,0,0,0,0,0,0,0,1,6
2104003,0,81.712738,34.319012,68.849312,76.099701,0,0,0,0,0,0,0,1,6
2104004,0,91.776604,44.056709,77.557732,83.942513,0,0,0,0,0,0,0,1,6
2104005,0,95.166779,41.447052,81.809196,88.476616,0,0,0,0,0,0,0,1,6
2104006,0,94.942261,31.770039,84.383118,89.61467,0,0,0,0,0,0,0,1,6
2104007,0,93.198151,15.450372,83.407524,88.059158,0,0,0,0,0,0,0,1,6
2105001,0,3.2567022,0.1853925,0.1853925,0.1853925,1,0,1,0,0,1,1,2,4
2105002,0,0.34989721,2.4156396,2.6328926,0.34989721,0,0,0,0,0,0,0,1,6
2105003,0,6.9927597,6.9927597,6.9927597,6.9927597,0,0,0,0,0,0,0,1,6
2105004,0,2.2012446,2.2012446,2.2012446,2.2012446,0,1,0,0,0,0,0,3,0
2105005,0,5.2896304,4.0832028,4.0832028,4.0832028,0,0,1,0,0,1,1,2,4
2105006,0,18.150045,10.809522,10.809522,10.809522,0,0,0,0,0,0,0,1,6
