PC 1,PC 2,cluster
-0.54,-0.39,1
-0.421,-0.384,1
-0.365,-1.012,1
-0.461,-1.016,1
-0.49,-1.018,1
-0.574,-1.024,1
-0.352,-1.01,1
-0.469,-0.387,1
-0.285,-1.007,1
-0.43,-1.012,1
-0.254,-1.004,1
-0.116,-0.996,1
-0.457,-1.015,1
-0.392,-1.01,1
-0.517,-1.018,1
-0.44,-0.384,1
-0.373,-1.011,1
-0.385,-1.011,1
-0.401,-1.015,1
-0.52,-0.39,1
-0.412,-1.013,1
-0.535,-0.388,1
-0.367,-1.013,1
-0.386,-1.012,1
-0.558,-0.391,1
-0.337,-1.012,1
-0.479,-0.384,1
-0.443,-1.013,1
-0.458,-1.012,1
-0.127,-0.997,1
-0.343,-1.01,1
-0.412,-0.384,1
0.24,-0.352,1
-0.192,-0.371,1
-0.62,-0.396,1
-0.582,-1.023,1
-0.559,-1.023,1
0.093,-0.992,1
0.158,-0.986,1
-0.574,-1.024,1
-0.286,-1.011,1
-0.413,-1.014,1
-0.431,-1.017,1
-0.449,-1.018,1
-0.533,-1.023,1
-0.506,-1.02,1
-0.672,-0.399,1
-0.57,-1.025,1
-0.699,-1.031,1
-0.602,-1.025,1
-0.514,-1.022,1
-0.485,-1.021,1
-0.49,-0.396,1
-0.562,-1.025,1
-0.113,-1.005,1
0.025,-1.0,1
-0.522,-1.021,1
-0.462,-0.388,1
-0.439,-1.019,1
-0.505,-0.392,1
-0.456,-1.02,1
-0.352,-1.012,1
-0.046,-0.998,1
0.123,-0.988,1
-0.647,-1.028,1
-0.529,-1.02,1
-0.036,-0.372,1
-0.399,-1.015,1
-0.471,-1.019,1
-0.466,-1.018,1
-0.483,-1.019,1
0.038,-0.992,1
0.054,-0.99,1
-0.147,-1.014,1
-0.565,-1.024,1
-0.509,-1.019,1
-0.494,-1.019,1
-0.698,-1.031,1
-0.667,-1.028,1
-0.646,-1.027,1
-0.713,-0.4,1
-0.658,-1.029,1
-0.603,-0.395,1
-0.769,-0.404,1
-0.69,-1.031,1
-0.697,-1.03,1
-0.674,-1.029,1
-0.74,-0.402,1
-0.653,-1.028,1
-0.63,-1.027,1
-0.686,-1.031,1
-0.732,-0.402,1
-0.499,-1.02,1
-0.692,-0.4,1
-0.663,-1.029,1
-0.667,-1.029,1
-0.65,-1.027,1
-0.685,-1.03,1
-0.54,-1.023,1
-0.526,-1.022,1
-0.598,-1.026,1
-0.617,-1.025,1
-0.675,-1.029,1
-0.675,-1.03,1
-0.687,-1.03,1
-0.697,-1.03,1
-0.397,-1.015,1
-0.649,-1.028,1
-0.78,-0.405,1
-0.72,-1.032,1
-0.554,-1.024,1
-0.609,-1.026,1
-0.663,-1.03,1
-0.586,-1.026,1
-0.691,-1.031,1
-0.711,-1.032,1
-0.663,-1.029,1
-0.385,-1.014,1
-0.606,-0.395,1
-0.429,-1.016,1
-0.465,-1.015,1
-0.548,-0.388,1
-0.495,-1.014,1
-0.42,-0.38,1
-0.643,-1.026,1
-0.677,-1.03,1
-0.657,-1.029,1
-0.424,-1.013,1
-0.516,-1.016,1
-0.463,-1.014,1
-0.428,-1.015,1
-0.62,-0.397,1
-0.618,-1.026,1
-0.679,-1.028,1
-0.596,-1.025,1
-0.504,-1.02,1
-0.547,-0.391,1
-0.528,-0.388,1
-0.471,-0.387,1
-0.34,-1.014,1
-0.395,-1.016,1
-0.432,-1.017,1
-0.629,-0.396,1
-0.35,-1.012,1
-0.268,-1.007,1
-0.604,-1.026,1
-0.532,-1.022,1
-0.467,-1.019,1
-0.619,-1.025,1
0.141,-0.35,1
-0.433,-1.015,1
-0.495,-1.021,1
-0.411,-1.015,1
-0.485,-0.386,1
-0.473,-1.019,1
-0.409,-1.016,1
-0.577,-1.025,1
-0.674,-0.4,1
-0.525,-0.391,1
-0.538,-1.022,1
-0.187,-1.002,1
-0.312,-1.007,1
-0.38,-1.012,1
-0.473,-1.019,1
-0.552,-1.023,1
-0.465,-0.388,1
-0.731,-1.033,1
-0.759,-0.405,1
-0.461,-1.018,1
-0.495,-1.018,1
-0.545,-1.02,1
-0.587,-1.023,1
-0.429,-1.017,1
-0.413,-1.017,1
-0.446,-0.388,1
-0.335,-1.013,1
-0.448,-1.019,1
-0.415,-1.018,1
-0.435,-0.388,1
-0.505,-1.021,1
-0.333,-1.009,1
-0.449,-1.017,1
-0.478,-1.019,1
-0.477,-1.018,1
-0.543,-1.02,1
-0.617,-1.023,1
-0.623,-1.026,1
-0.664,-1.03,1
-0.508,-1.021,1
-0.388,-1.015,1
-0.237,-1.01,1
-0.393,-1.015,1
-0.677,-0.397,1
-0.212,-0.377,1
-0.322,-0.384,1
-0.389,-0.384,1
-0.447,-1.019,1
-0.546,-1.025,1
-0.52,-1.018,1
-0.522,-0.387,1
-0.486,-0.388,1
-0.633,-1.029,1
-0.246,-1.011,1
0.594,-0.963,1
-0.384,-1.013,1
-0.36,-0.384,1
-0.238,-1.009,1
-0.269,-1.012,1
-0.253,-1.011,1
-0.249,-1.012,1
-0.239,-1.011,1
-0.22,-1.009,1
-0.215,-1.01,1
-0.223,-1.009,1
-0.14,-1.005,1
-0.153,-1.006,1
0.092,-0.996,1
2.0,-0.999,1
-0.033,-0.998,1
-0.137,-1.004,1
0.032,-0.998,1
0.037,-0.998,1
0.09,-0.996,1
-0.256,-1.009,1
0.067,-0.995,1
-0.264,-0.38,1
-0.22,-1.01,1
-0.339,-1.016,1
-0.472,-1.023,1
-0.412,-1.015,1
-0.545,-1.024,1
-0.61,-0.397,1
-0.299,-1.01,1
-0.608,-0.396,1
-0.252,-1.009,1
-0.44,-1.017,1
-0.127,-1.001,1
