FACILITY_ID,FACILITY_TYPE,URBAN,MIN_AIR_2015,MIN_AIR_2016,MIN_GROUND_2015,MIN_GROUND_2016,ON_GRID,ON_GRID_AVL,SOLAR_ONL,SOLAR_INC,DIESEL_ONL,DIESEL_INC
1115009,1,0,10,10,10,11,0,0,0,0,1,1
1115010,1,0,9,9,9,15,0,0,0,0,0,0
1115011,1,0,9,3,14,11,0,0,0,0,1,1
1115012,2,0,6,6,6,14,0,0,0,0,1,1
1116001,2,1,0,0,0,8,1,0,0,1,0,0
1116002,2,1,1,1,1,9,1,0,0,1,0,0
1116003,2,1,0,0,0,8,1,0,0,1,0,0
1116004,2,1,1,1,1,8,1,0,0,1,0,0
1116005,2,1,1,1,1,9,1,0,0,1,0,0
1116006,2,1,1,1,1,8,0,0,0,0,0,0
1116007,3,1,1,1,1,8,0,0,1,1,0,0
1116008,3,1,0,0,7,13,1,0,0,1,0,0
1116009,1,0,9,8,8,8,1,0,0,1,0,0
1116010,2,0,10,10,12,12,1,0,0,1,0,0
1116011,1,0,4,4,4,12,1,0,0,0,0,0
1116012,1,0,4,4,10,14,1,0,0,0,0,0
1116013,2,0,4,4,10,13,1,0,0,1,0,0
1116014,2,0,10,5,5,5,1,0,0,1,0,0
1116015,1,0,9,9,10,10,1,0,0,0,0,0
1116016,2,0,8,8,10,10,1,0,0,1,0,0
1116017,1,0,6,6,11,11,1,0,0,0,0,0
1116018,1,0,10,8,8,8,1,0,0,1,0,0
1117001,2,0,6,11,6,3,1,0,0,1,0,0
1117002,2,0,7,11,7,3,1,0,0,1,0,0
1117003,1,0,7,11,7,3,1,0,0,1,0,0
1117004,1,0,11,4,4,4,1,0,0,0,0,0
1117005,3,1,10,1,1,1,1,0,0,1,0,0
1117006,1,0,9,5,5,5,1,0,0,0,0,0
1117007,1,0,12,3,3,3,1,0,0,0,0,0
1117008,2,0,11,5,5,5,1,0,0,1,0,0
1117009,1,0,10,7,7,6,1,0,0,0,0,0
1117010,2,0,13,9,9,8,1,0,0,0,0,0
1117011,1,0,13,7,7,7,1,0,0,0,0,0
1117012,2,0,14,6,6,6,1,0,0,1,0,0
1117013,1,0,11,9,9,6,1,0,0,0,0,0
1117014,1,0,10,2,2,2,1,0,0,0,0,0
1117015,1,0,9,1,1,1,1,0,0,0,0,0
1118001,2,1,0,0,0,0,1,0,0,1,0,0
1118002,3,1,4,3,2,4,0,0,1,1,0,0
1118003,3,1,4,2,1,4,1,0,0,1,0,0
1118004,3,1,1,0,1,1,1,0,0,1,0,0
1118005,2,1,4,3,2,4,0,0,1,1,0,0
