FACILITY_ID;GOV;DISTRICT;FACILITY_TYPE;URBAN;MIN_AIR_2015;MIN_AIR_2016;MIN_GROUND_2015;MIN_GROUND_2016;ON_GRID;ON_GRID_AVL;SOLAR_ONL;SOLAR_INC;DIESEL_ONL;DIESEL_INC;cluster
2703007;Al-Mahweet;Ar Rujum;1;0;4;9;9;22;1;0;0;0;0;0;0
3009006;Al-Dhala;Al Husha;1;0;17;6;17;17;0;0;0;0;0;0;6
2912011;Amran;Jabal Iyal Yazid;1;0;6;3;23;9;0;0;0;0;0;0;6
2315005;Sana'a;Al Husn;1;0;9;11;19;16;0;0;0;0;0;0;6
2707015;Al-Mahweet;Bani Sa'd;1;0;12;9;9;58;0;0;0;0;0;0;6
2919030;Amran;Khammer;1;0;11;1;11;32;0;0;0;0;0;0;6
2012001;Dhamar;Al Manar;2;0;11;11;11;11;1;0;0;0;0;0;0
2003008;Dhamar;Jabal Ash sharq;1;0;4;4;4;22;0;0;0;0;0;0;6
2112007;Shabwa;As sa,aid;1;0;14;4;4;14;1;0;0;0;0;0;0
1110014;Ibb;Far Al Udayn;2;0;9;8;3;9;0;0;0;0;0;0;6
2213003;Sa'adah;Al Hishuah;1;0;10;0;22;22;0;0;0;0;0;0;6
1110012;Ibb;Far Al Udayn;1;0;9;2;2;6;0;0;0;0;0;0;6
1807002;Al-Hodaida;Az Zaydiyah;1;0;7;7;7;44;0;0;0;0;0;0;6
1104018;Ibb;An Nadirah;2;0;9;14;9;14;0;0;0;0;0;0;6
1110009;Ibb;Far Al Udayn;1;0;15;8;6;12;0;0;0;0;0;0;6
2903005;Amran;Al Ashshah;1;0;5;5;9;19;0;0;0;0;0;0;6
2706008;Al-Mahweet;Hufash;1;0;17;7;8;20;0;0;0;0;0;0;6
1110006;Ibb;Far Al Udayn;1;0;5;9;6;8;0;0;0;0;0;0;6
1207004;Abyan;Sarar;1;0;37;30;31;13;0;0;0;0;0;0;6
2502019;Lahj;Yafa'a;1;0;27;4;14;4;1;0;0;0;0;0;0
2003005;Dhamar;Jabal Ash sharq;1;0;4;4;11;15;0;0;0;0;0;0;6
2209003;Sa'adah;Saqayn;1;0;3;3;7;3;0;0;0;0;0;0;6
2003019;Dhamar;Jabal Ash sharq;1;0;6;6;6;31;0;0;0;0;0;0;6
2703017;Al-Mahweet;Ar Rujum;2;0;4;6;6;24;1;0;0;1;0;0;0
2307004;Sana'a;Bani Matar;1;0;2;3;9;17;0;0;0;0;0;0;6
1802023;Al-Hodaida;Alluhaiyah;1;0;18;21;17;36;0;0;0;0;0;0;6
1109013;Ibb;Hazm Al Udayn;1;0;5;20;5;2;0;0;0;0;0;0;6
1726001;Hajjah;Najrah;3;0;6;7;7;7;1;0;0;1;0;0;0
1807013;Al-Hodaida;Az Zaydiyah;1;0;5;5;10;42;0;0;0;0;0;0;6
1106006;Ibb;As Saddah;1;0;8;8;8;8;1;0;0;0;0;0;0
2009005;Dhamar;Mayfa'at  Anss;2;0;5;12;5;12;0;0;0;1;0;0;0
3103003;Rimah;As Salafiyah;2;0;8;8;10;22;0;0;0;0;0;0;6
1411005;Al-baida;Assawadyah;2;0;8;13;7;5;0;0;0;0;0;0;6
1103005;Ibb;Ar Radmah;2;0;1;5;11;14;0;0;0;0;0;0;6
2909009;Amran;Dhi Bin;1;0;12;5;17;29;0;0;0;0;0;0;6
1103007;Ibb;Ar Radmah;1;0;3;4;4;20;0;0;0;0;0;0;6
1825007;Al-Hodaida;Al Garrahi;3;0;2;20;27;39;0;0;0;0;0;0;6
1102021;Ibb;Yarim;1;0;7;8;7;4;1;0;0;0;0;1;4
2207005;Sa'adah;Adh Dhahir;1;0;7;1;6;7;0;0;0;0;0;0;6
1101012;Ibb;Al Qafr;1;0;7;7;7;6;1;0;0;1;0;0;0
2303004;Sana'a;Nahm;2;0;8;1;3;1;0;0;0;0;0;0;6
1817009;Al-Hodaida;Bayt Al Faqiah;1;0;11;18;18;50;0;0;0;0;0;0;6
2011003;Dhamar;Dawran Aness;2;0;1;1;11;31;1;0;0;0;0;0;0
2006018;Dhamar;Wusab Al Ali;1;0;22;33;21;21;0;0;0;0;0;0;6
1729004;Hajjah;Hajjah;1;0;6;7;6;7;0;0;0;0;0;0;6
1117013;Ibb;Mudhaykhirah;1;0;11;9;9;6;1;0;0;0;0;0;0
2007024;Dhamar;Wusab As Safil;2;0;16;25;25;37;0;0;0;0;0;0;6
2005013;Dhamar;Utmah;1;0;5;18;18;18;0;0;0;0;0;0;6
2909005;Amran;Dhi Bin;2;0;17;10;13;23;0;0;0;0;0;0;6
2512024;Lahj;Al Maqatirah;1;0;10;5;7;4;1;0;0;0;0;0;0
2709001;Al-Mahweet;Al Mahwait;1;0;16;18;22;42;0;0;0;1;0;0;0
2703022;Al-Mahweet;Ar Rujum;1;0;6;6;6;22;1;0;0;0;0;0;0
