MIN_DISTANCE_AIRBORNE_2015,MIN_DISTANCE_AIRBORNE_2016,MIN_DISTANCE_GROUND_2015,MIN_DISTANCE_GROUND_2016,FACILITY_TYPE_MODELLED,ON_GRID_AVL,URBAN,ON_GRID,SOLAR_ONL,DIESEL_ONL,cluster
6.0812511,17.441969,4.7681146,1.5327609,2,False,False,False,False,False,0
2.7481794,18.005667,0.42209876,2.7481794,1,False,False,True,False,False,0
10.008537,14.360723,10.008537,5.0868807,1,False,False,False,False,False,0
5.6782045,15.476492,5.1781573,2.782336,1,False,False,False,False,False,0
13.063134,23.273096,13.063134,12.831859,1,False,False,False,False,False,0
10.383627,19.725607,10.383627,8.2414522,1,False,False,False,False,False,0
3.6249812,17.591608,6.0161605,9.072547,1,False,False,True,False,False,0
3.2713881,17.253654,6.365263,9.3269339,2,False,False,False,False,True,4
4.8941121,19.86294,4.8941121,2.4128242,1,False,False,False,False,False,0
4.8335438,22.257854,4.8335438,4.9875984,1,False,False,False,False,False,0
1.9893447,20.443636,1.9893447,5.414556,1,False,False,False,False,True,4
2.2294564,20.171799,2.2294564,5.1443224,2,False,False,True,False,False,0
0.41331005,16.230864,0.41331005,0.41331005,2,False,True,False,False,True,4
2.9786651,15.562076,2.9786651,2.9786651,2,False,False,True,False,False,0
0.74571878,15.566088,0.74571878,0.74571878,2,False,True,False,False,True,4
3.4986508,12.002986,3.4986508,3.4986508,2,False,False,True,False,False,0
14.720205,8.5624075,6.0271602,11.035612,3,False,False,False,True,False,1
13.044678,5.6690679,4.3057976,10.383102,1,False,False,False,False,False,0
3.8429377,8.9601908,6.234591,6.234591,1,False,False,False,False,False,0
5.3731732,2.8120024,2.6379783,2.6379783,3,False,True,False,False,False,2
4.3810987,9.8827429,6.8654351,8.6787071,1,False,False,False,False,False,0
5.4453144,8.8485422,5.6770859,8.1290731,1,False,False,False,False,False,0
13.20427,5.1823034,5.1823034,10.223836,1,False,False,False,False,False,0
13.269438,5.2345562,5.2345562,10.350558,1,False,False,False,True,False,1
14.963096,7.558815,5.8530908,11.643059,1,False,False,False,False,False,0
14.913551,8.4801855,6.1386056,10.981255,2,False,False,True,False,False,0
7.8488364,0.21045971,0.21045971,4.9133468,1,False,False,False,False,False,0
9.2147141,2.0471365,2.0471365,6.4878292,1,False,False,False,False,False,0
9.9882135,5.0986204,0.11303408,7.9143858,2,False,False,False,True,False,1
8.7256279,7.6190929,3.0933166,8.897583,2,False,False,False,False,False,0
6.929143,6.440568,4.071907,6.0764971,2,False,False,False,True,False,1
6.4247417,7.3394279,2.9953344,5.0727315,2,False,False,False,True,False,1
0.77444476,8.7405853,3.7378268,3.7378268,2,False,False,False,True,False,1
14.55696,7.196198,6.5120559,11.585936,2,False,False,False,False,False,0
9.0510693,11.23028,7.1897616,10.67519,1,False,False,False,False,False,0
12.214318,6.4596758,5.1841745,9.4427986,2,False,False,False,True,False,1
11.287799,6.9794245,2.0525811,9.7364798,1,False,False,False,False,False,0
7.1904407,8.5614185,4.0985317,6.1960177,1,False,False,False,False,False,0
5.991344,3.7762387,3.7762387,3.7762387,1,False,False,False,False,False,0
13.968208,9.1856375,4.8520083,12.530697,1,False,False,False,False,False,0
8.0462103,11.209935,9.0912676,5.2670617,2,False,False,False,False,False,0
1.0334659,16.319288,1.0334659,1.0334659,1,False,False,False,False,True,4
16.928072,8.8719463,8.8719463,11.633634,1,False,False,False,False,False,0
16.774479,8.7870207,8.7870207,10.84408,1,False,False,False,True,False,1
1.1252877,15.693453,1.1252877,1.1252877,2,False,False,False,True,False,1
1.0684844,9.5612431,1.0684844,1.0684844,2,False,True,True,False,False,2
0.22387198,9.3339653,0.22387198,0.22387198,2,False,True,True,False,False,2
1.3785841,9.6883564,1.3785841,1.3785841,2,False,True,True,False,False,2
1.3622249,9.4978981,1.3622249,1.3622249,3,False,True,False,True,False,1
11.974538,5.8101158,5.8101158,5.8101158,1,False,False,False,False,False,0
12.514549,6.2501712,6.2501712,6.2501712,2,False,False,False,False,False,0
11.883386,4.7165709,4.7165709,4.7165709,2,False,False,False,False,False,0
11.328237,10.050048,6.417954,9.8209314,1,False,False,False,False,False,0
10.284145,10.157868,8.5372887,10.157868,1,False,False,False,False,False,0
5.1917567,12.246782,5.1917567,5.1917567,1,False,False,False,True,False,1
5.3898988,9.0597897,5.3898988,5.3898988,1,False,False,False,False,False,0
6.4102736,7.4248381,6.4102736,6.4102736,1,False,False,False,False,False,0
8.018878,6.2504311,6.2504311,6.2504311,2,False,False,False,True,False,1
9.9491186,16.221933,9.9491186,3.9803588,1,False,False,False,True,False,1
9.9492035,9.3835773,9.2192545,6.1478834,1,False,False,False,False,False,0
8.2445927,8.2445927,8.2445927,8.8302393,2,False,False,False,True,False,1
5.1606631,13.735254,5.1606631,5.1606631,1,False,False,False,True,False,1
5.6705709,11.554426,5.6705709,5.6705709,2,False,False,False,True,False,1
7.9158602,7.9158602,7.9158602,10.660894,2,False,False,True,False,False,0
6.6027784,8.741828,6.6027784,6.6027784,2,False,False,True,False,False,0
0.77177036,1.2036413,2.9906619,3.8853216,2,False,False,False,False,False,0
0.95079648,0.95079648,0.95079648,2.9828606,2,False,True,True,False,False,2
0.61211908,0.61211908,0.61211908,3.3375192,3,False,True,True,False,False,2
1.5032692,1.5032692,1.5032692,4.4713297,1,False,False,True,False,False,0
4.4163246,4.4163246,4.4163246,7.4692221,2,False,False,True,False,False,0
4.6151972,4.6151972,7.929163,11.803257,2,False,False,True,False,False,0
4.921555,4.921555,8.8820705,12.781687,1,False,False,False,False,False,0
3.6688938,3.6688938,6.4741697,10.294763,1,False,False,True,False,False,0
5.4052882,5.4052882,5.4052882,9.1104593,1,False,False,True,False,False,0
6.7762184,6.7762184,6.7762184,10.674308,1,False,False,True,False,False,0
6.7024574,6.7024574,6.7024574,10.554396,2,False,False,True,False,False,0
9.0163918,5.4471912,4.1720624,13.048717,1,False,False,False,False,True,4
11.461731,3.1335757,1.4110966,12.155018,2,False,False,True,False,False,0
10.759508,2.8129206,1.5375323,10.759508,2,False,False,False,False,False,0
9.8720541,1.5382297,0.21538572,10.804679,2,False,False,True,False,False,0
4.7691298,4.7691298,2.3534784,6.3757491,2,False,False,False,True,False,1
5.5169616,3.7575364,0.37246153,8.3088484,1,False,False,False,False,True,4
8.3463516,1.110815,1.110815,8.7868176,2,False,True,True,False,False,2
8.4143667,1.1637398,1.1637398,8.7972927,3,False,True,False,True,False,1
5.4136004,5.4136004,5.0057726,5.4136004,2,False,False,True,False,False,0
5.5650902,5.5650902,5.2008443,5.5650902,2,False,False,True,False,False,0
6.2353783,6.2353783,2.587719,6.2353783,2,False,False,True,False,False,0
6.5741858,6.5741858,2.1205883,6.5741858,2,False,False,True,False,False,0
8.104516,5.0905566,0.12714912,8.104516,2,False,False,True,False,False,0
8.0698061,5.1301918,0.096637405,8.0698061,2,False,False,False,True,False,1
2.1634903,2.1634903,2.1634903,2.1634903,2,False,False,False,True,False,1
2.3442018,2.3442018,2.3442018,2.3442018,2,False,False,True,False,False,0
10.752604,7.1483464,5.4265313,12.664445,1,False,False,False,False,True,4
10.656774,5.5184755,3.8517685,10.656774,1,False,False,False,False,True,4
9.276144,4.1458282,3.8495593,9.276144,2,False,False,False,False,True,4
7.3036985,1.5538565,1.5538565,9.719945,2,False,False,False,True,False,1
8.658844,5.9554148,5.3879638,8.9959908,1,False,False,True,False,False,0
3.4860313,3.4860313,3.4860313,4.0231423,2,False,False,False,True,False,1
5.5615058,5.5615058,5.5615058,5.5615058,1,False,False,False,False,False,0
2.6189718,2.6189718,3.9877067,3.318198,2,False,False,True,False,False,0
13.347946,2.4981847,15.869858,12.859851,1,False,False,False,False,False,0
12.613079,5.1259184,15.504938,10.58276,1,False,False,False,False,False,0
12.280281,5.3565292,12.880768,9.9670868,1,False,False,False,False,False,0
10.875778,6.0424514,13.358055,8.6943293,2,False,False,False,False,False,0
4.7934494,4.7934494,4.8074298,4.7934494,1,False,False,False,False,False,0
4.7694378,4.0217147,3.6404672,6.2181025,2,False,False,False,False,False,0
4.6291289,4.6291289,8.127739,7.5550871,1,False,False,False,False,False,0
10.192899,2.4599001,13.305099,12.946083,1,False,False,False,False,False,0
9.9478464,8.3860626,9.8515339,7.6416478,1,False,False,False,False,False,0
