pc 1,pc 2,cluster
-0.414,3.294,2.0
-0.407,3.294,2.0
-0.394,3.296,2.0
-0.407,3.294,2.0
-0.405,3.295,2.0
-0.407,3.294,2.0
-0.394,3.295,2.0
-0.254,1.671,2.0
-0.332,2.667,2.0
-0.416,3.294,2.0
-0.422,3.293,2.0
-0.142,1.672,2.0
-0.347,2.666,2.0
-0.35,2.666,2.0
-0.295,2.67,2.0
-0.396,3.295,2.0
-0.42,3.294,2.0
-0.431,3.294,2.0
-0.383,3.296,2.0
-0.252,2.298,2.0
-0.435,3.293,2.0
-0.425,3.294,2.0
-0.397,3.296,2.0
-0.362,3.297,2.0
-0.398,3.295,2.0
-0.399,3.295,2.0
-0.397,3.295,2.0
-0.433,3.294,2.0
-0.369,2.666,2.0
-0.415,3.294,2.0
-0.396,3.295,2.0
-0.428,3.294,2.0
-0.436,3.293,2.0
-0.366,2.666,2.0
-0.147,1.038,2.0
-0.436,3.293,2.0
-0.179,1.671,2.0
-0.149,1.038,2.0
-0.385,3.296,2.0
-0.413,3.295,2.0
-0.428,3.294,2.0
-0.423,3.294,2.0
-0.172,1.671,2.0
-0.422,3.294,2.0
-0.426,3.294,2.0
-0.176,1.671,2.0
-0.436,3.294,2.0
-0.178,1.671,2.0
-0.198,1.67,2.0
-0.433,3.294,2.0
-0.091,0.411,2.0
-0.343,2.668,2.0
-0.088,0.411,2.0
-0.146,1.673,2.0
-0.105,0.41,2.0
-0.163,1.038,2.0
-0.113,0.409,2.0
-0.131,1.039,2.0
-0.094,0.41,2.0
-0.153,1.038,2.0
-0.405,3.294,2.0
-0.142,1.672,2.0
-0.14,1.038,2.0
-0.406,3.295,2.0
-0.16,1.037,2.0
-0.412,3.294,2.0
-0.414,3.294,2.0
-0.408,3.295,2.0
-0.408,3.294,2.0
-0.416,3.294,2.0
-0.42,3.294,2.0
-0.122,1.131,2.0
-0.087,1.134,2.0
-0.121,1.761,2.0
-0.174,2.3,2.0
-0.365,3.297,2.0
-0.349,3.297,2.0
-0.14,1.761,2.0
-0.171,1.674,2.0
-0.368,3.296,2.0
-0.872,1.134,2.0
-0.865,0.592,2.0
-0.667,0.606,2.0
-0.799,0.596,2.0
-1.07,2.129,2.0
-0.87,0.592,2.0
-0.735,0.598,2.0
-0.703,0.513,2.0
-0.876,0.592,2.0
-0.935,1.762,2.0
-0.968,2.135,2.0
-1.069,2.129,2.0
-1.05,2.13,2.0
-1.123,2.757,2.0
-1.056,2.13,2.0
